cancer_type,n_samples,Gene,n_samp_mut,frac_samp_mut,n_mut,mut_norm,age_diff,age_diff_l,age_diff_h,age_diff_p
HNSC,902,CUL3,15,0.01662971175166297,15,2.2096721776280153,6.341837872272663,-0.24577242838777646,12.929448172933103,0.976
HNSC,902,CYLD,24,0.026607538802660754,25,2.490343326099696,-4.418162127727342,-9.521715339926278,0.6853910844715942,0.045
HNSC,902,EP300,45,0.04988913525498891,45,1.8918518339696686,0.23072676116154867,-3.5744476983516797,4.035901220674777,0.545
HNSC,902,EPHA2,26,0.028824833702882482,33,3.366992803384299,-2.8157378853031005,-7.258376259397334,1.626900488791133,0.146
HNSC,902,FAT1,148,0.164079822616408,183,4.002324070544287,2.5265373258245702,0.6354728924205852,4.417601759228555,0.982
HNSC,902,FBXW7,38,0.04212860310421286,40,6.111163424189282,4.866837872272654,0.8311618176680451,8.902513926877264,0.987
HNSC,902,FGFR3,15,0.01662971175166297,17,1.9249064942657927,-1.8228680100802848,-8.011047399420523,4.365311379259954,0.287
HNSC,902,FLNA,22,0.024390243902439025,22,1.0652694199826618,-0.6490712186364362,-6.089217489859759,4.791075052586886,0.421
HNSC,902,HLA-A,24,0.026607538802660754,28,7.860339232751398,-4.951019270584489,-9.773653988900497,-0.12838455226848033,0.045
HNSC,902,HLA-B,22,0.024390243902439025,23,28.555138618979683,2.6809683070552666,-2.639684383435548,8.00162099754608,0.836
HNSC,902,HRAS,52,0.057649667405764965,55,26.451075773370658,-0.8763439459091629,-4.3188010828261,2.566113191007775,0.342
HNSC,902,HUWE1,62,0.06873614190687362,65,1.6917695840090363,0.7264532568880426,-2.4406501402150074,3.8935566539910926,0.665
HNSC,902,KDM6A,23,0.025498891352549888,32,4.217374319110846,-0.7144121277273427,-5.225860947791447,3.7970366923367616,0.401
HNSC,902,KEAP1,26,0.028824833702882482,31,5.263283150250336,1.5547410980791057,-3.0288225610273978,6.138304757185609,0.72
HNSC,902,KMT2D,81,0.08980044345898004,90,1.633490053176736,-2.7692732388384513,-5.461862785320213,-0.07668369235668937,0.047
HNSC,902,MAPK1,13,0.014412416851441241,13,3.7472989481058514,-4.288931358496576,-11.364934650076696,2.787071933083544,0.14
HNSC,902,MYH9,27,0.02993348115299335,29,15.855273315378675,0.28666545847955405,-4.452166355232766,5.025497272191874,0.569
HNSC,902,NFE2L2,40,0.04434589800443459,41,28.95732366995123,3.2345207991019223,-0.7516992851770614,7.2207408833809055,0.938
HNSC,902,NOTCH1,112,0.12416851441241686,124,4.826220611658538,1.4579669045307213,-0.837203492739576,3.7531373018010186,0.865
HNSC,902,NSD1,54,0.0598669623059867,59,2.258066974812232,-1.0581621277273427,-4.382089276499485,2.2657650210447993,0.244
HNSC,902,PIK3CA,107,0.11862527716186252,109,10.132652584876707,-0.44348322864477296,-2.8909069310962514,2.0039404738067055,0.357
HNSC,902,PTEN,19,0.02106430155210643,22,5.202124263259665,2.2600196904544774,-3.180126580768845,7.7001659616778,0.749
HNSC,902,RAC1,16,0.017738359201773836,16,6.8963353645837735,11.316837872272657,4.9383100916792655,17.695365652866048,1
