annotation,AML_n,AML_freq,mean_age,age_bias,CH_freq,CH_freq_l,CH_freq_h,AML_freq_l,AML_freq_h,OR,annotation1
18p+,0,0,0,0,7.343743193034646e-7,0,2.464510427492983e-6,0,0.0020371038484649543,0,
18p-,0,0,0,0,2.7383449194366477e-6,7.799096761077332e-7,6.011963662992721e-6,0,0.0020371038484649543,0,
18q+,0,0,0,0,4.557684687880542e-6,1.3327130567190066e-6,8.112294961237899e-6,0,0.0020371038484649543,0,
18q-,0,0,0,0,6.559580784286879e-6,2.8146866565845787e-6,1.130687511280114e-5,0,0.0020371038484649543,0,
19p-,0,0,0,0,3.81708685739654e-6,8.163690791070507e-7,7.484238957935287e-6,0,0.0020371038484649543,0,
19q+,0,0,0,0,3.4768682461938044e-6,9.862190717425625e-7,6.80255703329371e-6,0,0.0020371038484649543,0,
19q-,0,0,0,0,2.19482494300301e-6,2.7756859865198753e-7,4.357391353053565e-6,0,0.0020371038484649543,0,
1p-,0,0,0,0,8.521542683951432e-6,4.256246330721533e-6,1.424205153897059e-5,0,0.0020371038484649543,0,
1q+,0,0,0,0,7.231719991784966e-6,2.592559170032549e-6,1.3578560418883791e-5,0,0.0020371038484649543,0,
1q-,0,0,0,0,1.2521704495242126e-5,7.392960793954066e-6,1.887061942606779e-5,0,0.0020371038484649543,0,
20+,0,0,0,0,8.920366025437563e-8,0,2.6761098076312693e-7,0,0.0020371038484649543,0,
20-,0,0,0,0,1.8027437386291265e-6,7.508666239318898e-7,3.1204166433284994e-6,0,0.0020371038484649543,0,
20p-,0,0,0,0,4.049431274803285e-6,1.092537387743417e-6,7.937518022251126e-6,0,0.0020371038484649543,0,
20q+,0,0,0,0,2.387753789599683e-6,0,5.559669987947134e-6,0,0.0020371038484649543,0,
21q-,0,0,0,0,6.2732992699821384e-6,2.947714208068575e-6,1.0288086332547096e-5,0,0.0020371038484649543,0,
22q+,0,0,0,0,2.6943654404275136e-5,2.1618040299309397e-5,3.215454845314629e-5,0,0.0020371038484649543,0,
22q-,0,0,0,0,4.22887584717546e-5,3.229742989733281e-5,5.4314967751839563e-5,0,0.0020371038484649543,0,
2p+,0,0,0,0,4.61991979968592e-6,1.7175853606421004e-6,8.105552824125647e-6,0,0.0020371038484649543,0,
2p-,0,0,0,0,6.707423749886767e-5,5.3577663196021936e-5,8.073219090413096e-5,0,0.0020371038484649543,0,
3+,0,0,0,0,9.965915903767922e-6,5.246264337413881e-6,1.610841771377242e-5,0,0.0020371038484649543,0,
3-,0,0,0,0,3.132500627537377e-7,0,8.215034758309944e-7,0,0.0020371038484649543,0,
3p+,0,0,0,0,4.408320419547633e-6,1.5265235673995888e-6,7.740803206352959e-6,0,0.0020371038484649543,0,
4p+,0,0,0,0,1.7674771752727454e-6,0,4.186555971147802e-6,0,0.0020371038484649543,0,
4p-,0,0,0,0,3.0847870418199203e-6,0,7.227934022483471e-6,0,0.0020371038484649543,0,
4q+,0,0,0,0,2.541267065386283e-6,5.372964652530998e-7,5.171841516213283e-6,0,0.0020371038484649543,0,
5+,0,0,0,0,2.19482494300301e-6,1.0661911904124736e-6,3.5018141535091266e-6,0,0.0020371038484649543,0,
5p+,0,0,0,0,5.242270917739704e-6,3.2748634457921804e-6,7.316048568281252e-6,0,0.0020371038484649543,0,
5p-,0,0,0,0,3.0080304039266207e-6,8.12998010550926e-7,5.9093794537001875e-6,0,0.0020371038484649543,0,
6p+,0,0,0,0,7.283582584956114e-6,3.5453268691797206e-6,1.1644915495090685e-5,0,0.0020371038484649543,0,
6p-,0,0,0,0,9.845594687610857e-6,5.192171652736374e-6,1.5206682806305662e-5,0,0.0020371038484649543,0,
6q+,0,0,0,0,4.626143310866458e-6,1.5804088017044125e-6,7.804490470767131e-6,0,0.0020371038484649543,0,
7+,0,0,0,0,1.5392817653196915e-6,0,4.54316316179262e-6,0,0.0020371038484649543,0,
7p+,0,0,0,0,1.703167559740521e-6,0,3.868949450567688e-6,0,0.0020371038484649543,0,
8p+,0,0,0,0,4.277626684756339e-6,7.87118576558523e-7,8.875453019751351e-6,0,0.0020371038484649543,0,
8q+,0,0,0,0,2.649141259182272e-6,6.095929201336811e-7,5.10716886252886e-6,0,0.0020371038484649543,0,
8q-,0,0,0,0,7.337519681854108e-6,3.2055231587223548e-6,1.2140047672095644e-5,0,0.0020371038484649543,0,
9-,0,0,0,0,6.596921851370106e-7,9.750167516175942e-8,1.3983710996736806e-6,0,0.0020371038484649543,0,
9p-,0,0,0,0,8.111309571967646e-7,0,2.433392871590294e-6,0,0.0020371038484649543,0,
